CATEGORY,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22
CATTLE,7244944,7274022,7243916,7241743,7302808,7347487,7376306,7385035,7458885,7466841,7413197
BUFFALOES,5133139,5241873,5178612,5167737,5168809,5177998,5277819,5308664,5257591,5159931,5132931
SHEEP,807267,809536,789216,789292,800658,801975,800749,798889,806079,793725,771205
GOAT,9512958,9786354,10177531,10251569,10986114,11165099,11647319,12283752,12811953,13442614,13990703
PIGS,1137489,1160035,1190138,1203230,1291308,1328036,1435369,1488338,1519593,1588838,1504624
FOWL,45171185,47959239,48079406,50195285,68630638,70007151,72245732,75709330,82598879,73418077,66803117
DUCK,376916,375975,390209,390287,392255,394775,404670,416400,427226,432226,605944
MILKING COW,998963,1025591,1024513,1025947,1026135,1029529,1039538,1078775,1166156,1209041,1223061
MILKING BUFFALOES,1331037,1369796,1345837,1345164,1355384,1509512,1535948,1560584,1635492,1630642,1666827
LAYING HEN,7907468,8233616,8350237,8412247,12353515,12388889,12517558,12526979,12927842,11374011,10131642
LAYING DUCK,174978,174714,179447,179480,180927,183940,186912,190747,191701,220532,302473
